context1;context2;context3;context4;context5;context6;context7;response
With all your might!”He looked aside.;He adjusted his tie.;“I was driving in something?”“Yes you, Mrs. Wojtys.”“So;what?”“What do you mean so what, all the other things were driven in,and you too were driving in something!”“I was not driving in anything, I was just pounding the tree.;”Mrs.;Wojtys was reaching for words from the resources of amartyr’s endless patience.;“Lena, honey, explain why I was pounding the tree.;He adjusted his tie.
He adjusted his tie.;“I was driving in something?”“Yes you, Mrs. Wojtys.”“So;what?”“What do you mean so what, all the other things were driven in,and you too were driving in something!”“I was not driving in anything, I was just pounding the tree.;”Mrs.;Wojtys was reaching for words from the resources of amartyr’s endless patience.;“Lena, honey, explain why I was pounding the tree.;”Her voice was impersonal, stony, and her gaze bore the dictum“I’ll bear it.;“I was driving in something?”“Yes you, Mrs. Wojtys.”“So
“I was driving in something?”“Yes you, Mrs. Wojtys.”“So;what?”“What do you mean so what, all the other things were driven in,and you too were driving in something!”“I was not driving in anything, I was just pounding the tree.;”Mrs.;Wojtys was reaching for words from the resources of amartyr’s endless patience.;“Lena, honey, explain why I was pounding the tree.;”Her voice was impersonal, stony, and her gaze bore the dictum“I’ll bear it.;”Lena retreated into herself—more a pretense of a movementthan a movement, she was like a snail, like certain shrubs, like any-thing that recedes or coils up when touched.;what?”“What do you mean so what, all the other things were driven in,and you too were driving in something!”“I was not driving in anything, I was just pounding the tree.
what?”“What do you mean so what, all the other things were driven in,and you too were driving in something!”“I was not driving in anything, I was just pounding the tree.;”Mrs.;Wojtys was reaching for words from the resources of amartyr’s endless patience.;“Lena, honey, explain why I was pounding the tree.;”Her voice was impersonal, stony, and her gaze bore the dictum“I’ll bear it.;”Lena retreated into herself—more a pretense of a movementthan a movement, she was like a snail, like certain shrubs, like any-thing that recedes or coils up when touched.;She swallowed.;”Mrs.
”Mrs.;Wojtys was reaching for words from the resources of amartyr’s endless patience.;“Lena, honey, explain why I was pounding the tree.;”Her voice was impersonal, stony, and her gaze bore the dictum“I’ll bear it.;”Lena retreated into herself—more a pretense of a movementthan a movement, she was like a snail, like certain shrubs, like any-thing that recedes or coils up when touched.;She swallowed.;“Lena, tell them the truth!”“Every once in while, my mother . . .;Wojtys was reaching for words from the resources of amartyr’s endless patience.
Wojtys was reaching for words from the resources of amartyr’s endless patience.;“Lena, honey, explain why I was pounding the tree.;”Her voice was impersonal, stony, and her gaze bore the dictum“I’ll bear it.;”Lena retreated into herself—more a pretense of a movementthan a movement, she was like a snail, like certain shrubs, like any-thing that recedes or coils up when touched.;She swallowed.;“Lena, tell them the truth!”“Every once in while, my mother . . .;It’s a sort of crisis.;“Lena, honey, explain why I was pounding the tree.
“Lena, honey, explain why I was pounding the tree.;”Her voice was impersonal, stony, and her gaze bore the dictum“I’ll bear it.;”Lena retreated into herself—more a pretense of a movementthan a movement, she was like a snail, like certain shrubs, like any-thing that recedes or coils up when touched.;She swallowed.;“Lena, tell them the truth!”“Every once in while, my mother . . .;It’s a sort of crisis.;Nerves.;”Her voice was impersonal, stony, and her gaze bore the dictum“I’ll bear it.
”Her voice was impersonal, stony, and her gaze bore the dictum“I’ll bear it.;”Lena retreated into herself—more a pretense of a movementthan a movement, she was like a snail, like certain shrubs, like any-thing that recedes or coils up when touched.;She swallowed.;“Lena, tell them the truth!”“Every once in while, my mother . . .;It’s a sort of crisis.;Nerves.;It happens from time to time.;”Lena retreated into herself—more a pretense of a movementthan a movement, she was like a snail, like certain shrubs, like any-thing that recedes or coils up when touched.
”Lena retreated into herself—more a pretense of a movementthan a movement, she was like a snail, like certain shrubs, like any-thing that recedes or coils up when touched.;She swallowed.;“Lena, tell them the truth!”“Every once in while, my mother . . .;It’s a sort of crisis.;Nerves.;It happens from time to time.;Then she grabs anything . . .;She swallowed.
She swallowed.;“Lena, tell them the truth!”“Every once in while, my mother . . .;It’s a sort of crisis.;Nerves.;It happens from time to time.;Then she grabs anything . . .;to re-lieve herself.;“Lena, tell them the truth!”“Every once in while, my mother . . .
“Lena, tell them the truth!”“Every once in while, my mother . . .;It’s a sort of crisis.;Nerves.;It happens from time to time.;Then she grabs anything . . .;to re-lieve herself.;She pounds.;It’s a sort of crisis.
It’s a sort of crisis.;Nerves.;It happens from time to time.;Then she grabs anything . . .;to re-lieve herself.;She pounds.;If it’s glass, she breaks it.;Nerves.
Nerves.;It happens from time to time.;Then she grabs anything . . .;to re-lieve herself.;She pounds.;If it’s glass, she breaks it.;”;It happens from time to time.
It happens from time to time.;Then she grabs anything . . .;to re-lieve herself.;She pounds.;If it’s glass, she breaks it.;”;Witold GombrowiczShe was lying.;Then she grabs anything . . .
Then she grabs anything . . .;to re-lieve herself.;She pounds.;If it’s glass, she breaks it.;”;Witold GombrowiczShe was lying.;No, she was not lying!;to re-lieve herself.
to re-lieve herself.;She pounds.;If it’s glass, she breaks it.;”;Witold GombrowiczShe was lying.;No, she was not lying!;This was the truth and alie at the same time.;She pounds.
She pounds.;If it’s glass, she breaks it.;”;Witold GombrowiczShe was lying.;No, she was not lying!;This was the truth and alie at the same time.;The truth, because it corresponded to reality.;If it’s glass, she breaks it.
If it’s glass, she breaks it.;”;Witold GombrowiczShe was lying.;No, she was not lying!;This was the truth and alie at the same time.;The truth, because it corresponded to reality.;A lie, because her words (I knew it already) were not importantfor their truth but only because they originated from her, fromLena—like her gaze, her fragrance.;”
”;Witold GombrowiczShe was lying.;No, she was not lying!;This was the truth and alie at the same time.;The truth, because it corresponded to reality.;A lie, because her words (I knew it already) were not importantfor their truth but only because they originated from her, fromLena—like her gaze, her fragrance.;Her telling was halfhearted,discredited by her allure, fearful, as if suspended in air . . .;Witold GombrowiczShe was lying.
Witold GombrowiczShe was lying.;No, she was not lying!;This was the truth and alie at the same time.;The truth, because it corresponded to reality.;A lie, because her words (I knew it already) were not importantfor their truth but only because they originated from her, fromLena—like her gaze, her fragrance.;Her telling was halfhearted,discredited by her allure, fearful, as if suspended in air . . .;Who, ifnot a mother, could have sensed this discomfort?;No, she was not lying!
No, she was not lying!;This was the truth and alie at the same time.;The truth, because it corresponded to reality.;A lie, because her words (I knew it already) were not importantfor their truth but only because they originated from her, fromLena—like her gaze, her fragrance.;Her telling was halfhearted,discredited by her allure, fearful, as if suspended in air . . .;Who, ifnot a mother, could have sensed this discomfort?;Roly-Poly has-tened to translate Lena’s assertions into the more matter-of-factlanguage of an old woman.;This was the truth and alie at the same time.
This was the truth and alie at the same time.;The truth, because it corresponded to reality.;A lie, because her words (I knew it already) were not importantfor their truth but only because they originated from her, fromLena—like her gaze, her fragrance.;Her telling was halfhearted,discredited by her allure, fearful, as if suspended in air . . .;Who, ifnot a mother, could have sensed this discomfort?;Roly-Poly has-tened to translate Lena’s assertions into the more matter-of-factlanguage of an old woman.;“I work, gentlemen, day in, day out.;The truth, because it corresponded to reality.
The truth, because it corresponded to reality.;A lie, because her words (I knew it already) were not importantfor their truth but only because they originated from her, fromLena—like her gaze, her fragrance.;Her telling was halfhearted,discredited by her allure, fearful, as if suspended in air . . .;Who, ifnot a mother, could have sensed this discomfort?;Roly-Poly has-tened to translate Lena’s assertions into the more matter-of-factlanguage of an old woman.;“I work, gentlemen, day in, day out.;Year in, year out.;A lie, because her words (I knew it already) were not importantfor their truth but only because they originated from her, fromLena—like her gaze, her fragrance.
A lie, because her words (I knew it already) were not importantfor their truth but only because they originated from her, fromLena—like her gaze, her fragrance.;Her telling was halfhearted,discredited by her allure, fearful, as if suspended in air . . .;Who, ifnot a mother, could have sensed this discomfort?;Roly-Poly has-tened to translate Lena’s assertions into the more matter-of-factlanguage of an old woman.;“I work, gentlemen, day in, day out.;Year in, year out.;Frommorning ’til night.;Her telling was halfhearted,discredited by her allure, fearful, as if suspended in air . . .
Her telling was halfhearted,discredited by her allure, fearful, as if suspended in air . . .;Who, ifnot a mother, could have sensed this discomfort?;Roly-Poly has-tened to translate Lena’s assertions into the more matter-of-factlanguage of an old woman.;“I work, gentlemen, day in, day out.;Year in, year out.;Frommorning ’til night.;Drudgery.;Who, ifnot a mother, could have sensed this discomfort?
Who, ifnot a mother, could have sensed this discomfort?;Roly-Poly has-tened to translate Lena’s assertions into the more matter-of-factlanguage of an old woman.;“I work, gentlemen, day in, day out.;Year in, year out.;Frommorning ’til night.;Drudgery.;Y ou know me, gentlemen, I’m com-posed and tactful, well-mannered.;Roly-Poly has-tened to translate Lena’s assertions into the more matter-of-factlanguage of an old woman.
Roly-Poly has-tened to translate Lena’s assertions into the more matter-of-factlanguage of an old woman.;“I work, gentlemen, day in, day out.;Year in, year out.;Frommorning ’til night.;Drudgery.;Y ou know me, gentlemen, I’m com-posed and tactful, well-mannered.;But when my composuresnaps . . .;“I work, gentlemen, day in, day out.
“I work, gentlemen, day in, day out.;Year in, year out.;Frommorning ’til night.;Drudgery.;Y ou know me, gentlemen, I’m com-posed and tactful, well-mannered.;But when my composuresnaps . . .;Then I grab anything.;Year in, year out.
Year in, year out.;Frommorning ’til night.;Drudgery.;Y ou know me, gentlemen, I’m com-posed and tactful, well-mannered.;But when my composuresnaps . . .;Then I grab anything.;”She reﬂected, then said with deliberation:“I grab anything . . .;Frommorning ’til night.
Frommorning ’til night.;Drudgery.;Y ou know me, gentlemen, I’m com-posed and tactful, well-mannered.;But when my composuresnaps . . .;Then I grab anything.;”She reﬂected, then said with deliberation:“I grab anything . . .;”All of a sudden she couldn’t bear it any longer, she yelled, in afrenzy.;Drudgery.
Drudgery.;Y ou know me, gentlemen, I’m com-posed and tactful, well-mannered.;But when my composuresnaps . . .;Then I grab anything.;”She reﬂected, then said with deliberation:“I grab anything . . .;”All of a sudden she couldn’t bear it any longer, she yelled, in afrenzy.;“Anything!”“Honey,” Leon said, and she yelled at him: “Anything!”“Anything,” Leon said, whereupon she yelled: “Not anything!Anything!”;Y ou know me, gentlemen, I’m com-posed and tactful, well-mannered.
Y ou know me, gentlemen, I’m com-posed and tactful, well-mannered.;But when my composuresnaps . . .;Then I grab anything.;”She reﬂected, then said with deliberation:“I grab anything . . .;”All of a sudden she couldn’t bear it any longer, she yelled, in afrenzy.;“Anything!”“Honey,” Leon said, and she yelled at him: “Anything!”“Anything,” Leon said, whereupon she yelled: “Not anything!Anything!”;And she became quiet.;But when my composuresnaps . . .
But when my composuresnaps . . .;Then I grab anything.;”She reﬂected, then said with deliberation:“I grab anything . . .;”All of a sudden she couldn’t bear it any longer, she yelled, in afrenzy.;“Anything!”“Honey,” Leon said, and she yelled at him: “Anything!”“Anything,” Leon said, whereupon she yelled: “Not anything!Anything!”;And she became quiet.;I too sat quietly.;Then I grab anything.
Then I grab anything.;”She reﬂected, then said with deliberation:“I grab anything . . .;”All of a sudden she couldn’t bear it any longer, she yelled, in afrenzy.;“Anything!”“Honey,” Leon said, and she yelled at him: “Anything!”“Anything,” Leon said, whereupon she yelled: “Not anything!Anything!”;And she became quiet.;I too sat quietly.;“That’s understandable,” Fuks melted into civilities.;”She reﬂected, then said with deliberation:“I grab anything . . .
”She reﬂected, then said with deliberation:“I grab anything . . .;”All of a sudden she couldn’t bear it any longer, she yelled, in afrenzy.;“Anything!”“Honey,” Leon said, and she yelled at him: “Anything!”“Anything,” Leon said, whereupon she yelled: “Not anything!Anything!”;And she became quiet.;I too sat quietly.;“That’s understandable,” Fuks melted into civilities.;“Quitenatural . . .;”All of a sudden she couldn’t bear it any longer, she yelled, in afrenzy.
”All of a sudden she couldn’t bear it any longer, she yelled, in afrenzy.;“Anything!”“Honey,” Leon said, and she yelled at him: “Anything!”“Anything,” Leon said, whereupon she yelled: “Not anything!Anything!”;And she became quiet.;I too sat quietly.;“That’s understandable,” Fuks melted into civilities.;“Quitenatural . . .;With so much work and trouble . . .;“Anything!”“Honey,” Leon said, and she yelled at him: “Anything!”“Anything,” Leon said, whereupon she yelled: “Not anything!Anything!”
“Anything!”“Honey,” Leon said, and she yelled at him: “Anything!”“Anything,” Leon said, whereupon she yelled: “Not anything!Anything!”;And she became quiet.;I too sat quietly.;“That’s understandable,” Fuks melted into civilities.;“Quitenatural . . .;With so much work and trouble . . .;Nerves!;And she became quiet.
And she became quiet.;I too sat quietly.;“That’s understandable,” Fuks melted into civilities.;“Quitenatural . . .;With so much work and trouble . . .;Nerves!;Y es,yes! . . .;I too sat quietly.
I too sat quietly.;“That’s understandable,” Fuks melted into civilities.;“Quitenatural . . .;With so much work and trouble . . .;Nerves!;Y es,yes! . . .;That explains it . . .;“That’s understandable,” Fuks melted into civilities.
“That’s understandable,” Fuks melted into civilities.;“Quitenatural . . .;With so much work and trouble . . .;Nerves!;Y es,yes! . . .;That explains it . . .;but right after that there was an-other banging, it seemed to be coming from the house, from thesecond ﬂo o r ?...”;“Quitenatural . . .
“Quitenatural . . .;With so much work and trouble . . .;Nerves!;Y es,yes! . . .;That explains it . . .;but right after that there was an-other banging, it seemed to be coming from the house, from thesecond ﬂo o r ?...”;“That was me,” Lena declared.;With so much work and trouble . . .
With so much work and trouble . . .;Nerves!;Y es,yes! . . .;That explains it . . .;but right after that there was an-other banging, it seemed to be coming from the house, from thesecond ﬂo o r ?...”;“That was me,” Lena declared.;“She,” Mrs. Wojtys informed us with a patience that knew nobounds, “when she hears that something is coming over me, she’llCosmos either run to me and catch my arm, or she’ll make a lot of noiseherself.;Nerves!
Nerves!;Y es,yes! . . .;That explains it . . .;but right after that there was an-other banging, it seemed to be coming from the house, from thesecond ﬂo o r ?...”;“That was me,” Lena declared.;“She,” Mrs. Wojtys informed us with a patience that knew nobounds, “when she hears that something is coming over me, she’llCosmos either run to me and catch my arm, or she’ll make a lot of noiseherself.;T o bring me to my senses.;Y es,yes! . . .
Y es,yes! . . .;That explains it . . .;but right after that there was an-other banging, it seemed to be coming from the house, from thesecond ﬂo o r ?...”;“That was me,” Lena declared.;“She,” Mrs. Wojtys informed us with a patience that knew nobounds, “when she hears that something is coming over me, she’llCosmos either run to me and catch my arm, or she’ll make a lot of noiseherself.;T o bring me to my senses.;”That settled it.;That explains it . . .
That explains it . . .;but right after that there was an-other banging, it seemed to be coming from the house, from thesecond ﬂo o r ?...”;“That was me,” Lena declared.;“She,” Mrs. Wojtys informed us with a patience that knew nobounds, “when she hears that something is coming over me, she’llCosmos either run to me and catch my arm, or she’ll make a lot of noiseherself.;T o bring me to my senses.;”That settled it.;Lena added a few more details.;but right after that there was an-other banging, it seemed to be coming from the house, from thesecond ﬂo o r ?...”
but right after that there was an-other banging, it seemed to be coming from the house, from thesecond ﬂo o r ?...”;“That was me,” Lena declared.;“She,” Mrs. Wojtys informed us with a patience that knew nobounds, “when she hears that something is coming over me, she’llCosmos either run to me and catch my arm, or she’ll make a lot of noiseherself.;T o bring me to my senses.;”That settled it.;Lena added a few more details.;That they hadjust returned with Ludwik, that when she heard her motherbanging she picked up her husband’s shoe (her husband was inthe bathroom), and she drummed on the table, then on a suit-case . . .;“That was me,” Lena declared.
“That was me,” Lena declared.;“She,” Mrs. Wojtys informed us with a patience that knew nobounds, “when she hears that something is coming over me, she’llCosmos either run to me and catch my arm, or she’ll make a lot of noiseherself.;T o bring me to my senses.;”That settled it.;Lena added a few more details.;That they hadjust returned with Ludwik, that when she heard her motherbanging she picked up her husband’s shoe (her husband was inthe bathroom), and she drummed on the table, then on a suit-case . . .;Everything has been cleared up, last night’s riddles settledon the dry sands of explanation—it didn’t surprise me, I wasready for it, and yet it was tragic, the events we had lived throughescaped from our ﬁngers like debris, debris, everything lay at ourfeet, needles, nails, hammers, crashes . . .;“She,” Mrs. Wojtys informed us with a patience that knew nobounds, “when she hears that something is coming over me, she’llCosmos either run to me and catch my arm, or she’ll make a lot of noiseherself.
“She,” Mrs. Wojtys informed us with a patience that knew nobounds, “when she hears that something is coming over me, she’llCosmos either run to me and catch my arm, or she’ll make a lot of noiseherself.;T o bring me to my senses.;”That settled it.;Lena added a few more details.;That they hadjust returned with Ludwik, that when she heard her motherbanging she picked up her husband’s shoe (her husband was inthe bathroom), and she drummed on the table, then on a suit-case . . .;Everything has been cleared up, last night’s riddles settledon the dry sands of explanation—it didn’t surprise me, I wasready for it, and yet it was tragic, the events we had lived throughescaped from our ﬁngers like debris, debris, everything lay at ourfeet, needles, nails, hammers, crashes . . .;I looked at the table andI saw a carafe on a saucer, a crumb brush in the shape of a half-moon, Leon’s spectacles (he used them for reading) and otherthings—all sluggish as if they had given up their last breath.;T o bring me to my senses.
T o bring me to my senses.;”That settled it.;Lena added a few more details.;That they hadjust returned with Ludwik, that when she heard her motherbanging she picked up her husband’s shoe (her husband was inthe bathroom), and she drummed on the table, then on a suit-case . . .;Everything has been cleared up, last night’s riddles settledon the dry sands of explanation—it didn’t surprise me, I wasready for it, and yet it was tragic, the events we had lived throughescaped from our ﬁngers like debris, debris, everything lay at ourfeet, needles, nails, hammers, crashes . . .;I looked at the table andI saw a carafe on a saucer, a crumb brush in the shape of a half-moon, Leon’s spectacles (he used them for reading) and otherthings—all sluggish as if they had given up their last breath.;And indiﬀerent.;”That settled it.
”That settled it.;Lena added a few more details.;That they hadjust returned with Ludwik, that when she heard her motherbanging she picked up her husband’s shoe (her husband was inthe bathroom), and she drummed on the table, then on a suit-case . . .;Everything has been cleared up, last night’s riddles settledon the dry sands of explanation—it didn’t surprise me, I wasready for it, and yet it was tragic, the events we had lived throughescaped from our ﬁngers like debris, debris, everything lay at ourfeet, needles, nails, hammers, crashes . . .;I looked at the table andI saw a carafe on a saucer, a crumb brush in the shape of a half-moon, Leon’s spectacles (he used them for reading) and otherthings—all sluggish as if they had given up their last breath.;And indiﬀerent.;The indiﬀerence of objects, already unfriendly and borderingon stern, was accompanied by the indiﬀerence of the people—asif Fuks;Lena added a few more details.
Lena added a few more details.;That they hadjust returned with Ludwik, that when she heard her motherbanging she picked up her husband’s shoe (her husband was inthe bathroom), and she drummed on the table, then on a suit-case . . .;Everything has been cleared up, last night’s riddles settledon the dry sands of explanation—it didn’t surprise me, I wasready for it, and yet it was tragic, the events we had lived throughescaped from our ﬁngers like debris, debris, everything lay at ourfeet, needles, nails, hammers, crashes . . .;I looked at the table andI saw a carafe on a saucer, a crumb brush in the shape of a half-moon, Leon’s spectacles (he used them for reading) and otherthings—all sluggish as if they had given up their last breath.;And indiﬀerent.;The indiﬀerence of objects, already unfriendly and borderingon stern, was accompanied by the indiﬀerence of the people—asif Fuks;and I were a nuisance to them.;That they hadjust returned with Ludwik, that when she heard her motherbanging she picked up her husband’s shoe (her husband was inthe bathroom), and she drummed on the table, then on a suit-case . . .
That they hadjust returned with Ludwik, that when she heard her motherbanging she picked up her husband’s shoe (her husband was inthe bathroom), and she drummed on the table, then on a suit-case . . .;Everything has been cleared up, last night’s riddles settledon the dry sands of explanation—it didn’t surprise me, I wasready for it, and yet it was tragic, the events we had lived throughescaped from our ﬁngers like debris, debris, everything lay at ourfeet, needles, nails, hammers, crashes . . .;I looked at the table andI saw a carafe on a saucer, a crumb brush in the shape of a half-moon, Leon’s spectacles (he used them for reading) and otherthings—all sluggish as if they had given up their last breath.;And indiﬀerent.;The indiﬀerence of objects, already unfriendly and borderingon stern, was accompanied by the indiﬀerence of the people—asif Fuks;and I were a nuisance to them.;I then became conscious ofthe cat, and this brought me comfort—because there, on the wall,some of the horror lingered, the jaws were still gaping.;Everything has been cleared up, last night’s riddles settledon the dry sands of explanation—it didn’t surprise me, I wasready for it, and yet it was tragic, the events we had lived throughescaped from our ﬁngers like debris, debris, everything lay at ourfeet, needles, nails, hammers, crashes . . .
Everything has been cleared up, last night’s riddles settledon the dry sands of explanation—it didn’t surprise me, I wasready for it, and yet it was tragic, the events we had lived throughescaped from our ﬁngers like debris, debris, everything lay at ourfeet, needles, nails, hammers, crashes . . .;I looked at the table andI saw a carafe on a saucer, a crumb brush in the shape of a half-moon, Leon’s spectacles (he used them for reading) and otherthings—all sluggish as if they had given up their last breath.;And indiﬀerent.;The indiﬀerence of objects, already unfriendly and borderingon stern, was accompanied by the indiﬀerence of the people—asif Fuks;and I were a nuisance to them.;I then became conscious ofthe cat, and this brought me comfort—because there, on the wall,some of the horror lingered, the jaws were still gaping.;And Ithought that, even though two of the loud noises lay helplessly onthe ground, I had one more loud noise up my sleeve, less easily ex-plainable, a truly vexatious, even a spiteful noise . . .;I looked at the table andI saw a carafe on a saucer, a crumb brush in the shape of a half-moon, Leon’s spectacles (he used them for reading) and otherthings—all sluggish as if they had given up their last breath.
I looked at the table andI saw a carafe on a saucer, a crumb brush in the shape of a half-moon, Leon’s spectacles (he used them for reading) and otherthings—all sluggish as if they had given up their last breath.;And indiﬀerent.;The indiﬀerence of objects, already unfriendly and borderingon stern, was accompanied by the indiﬀerence of the people—asif Fuks;and I were a nuisance to them.;I then became conscious ofthe cat, and this brought me comfort—because there, on the wall,some of the horror lingered, the jaws were still gaping.;And Ithought that, even though two of the loud noises lay helplessly onthe ground, I had one more loud noise up my sleeve, less easily ex-plainable, a truly vexatious, even a spiteful noise . . .;How will shecope with my having banged at her door?I asked Lena . . .;And indiﬀerent.
And indiﬀerent.;The indiﬀerence of objects, already unfriendly and borderingon stern, was accompanied by the indiﬀerence of the people—asif Fuks;and I were a nuisance to them.;I then became conscious ofthe cat, and this brought me comfort—because there, on the wall,some of the horror lingered, the jaws were still gaping.;And Ithought that, even though two of the loud noises lay helplessly onthe ground, I had one more loud noise up my sleeve, less easily ex-plainable, a truly vexatious, even a spiteful noise . . .;How will shecope with my having banged at her door?I asked Lena . . .;“weren’t there two salvos from upstairs? . .;The indiﬀerence of objects, already unfriendly and borderingon stern, was accompanied by the indiﬀerence of the people—asif Fuks
The indiﬀerence of objects, already unfriendly and borderingon stern, was accompanied by the indiﬀerence of the people—asif Fuks;and I were a nuisance to them.;I then became conscious ofthe cat, and this brought me comfort—because there, on the wall,some of the horror lingered, the jaws were still gaping.;And Ithought that, even though two of the loud noises lay helplessly onthe ground, I had one more loud noise up my sleeve, less easily ex-plainable, a truly vexatious, even a spiteful noise . . .;How will shecope with my having banged at her door?I asked Lena . . .;“weren’t there two salvos from upstairs? . .;.One;and I were a nuisance to them.
and I were a nuisance to them.;I then became conscious ofthe cat, and this brought me comfort—because there, on the wall,some of the horror lingered, the jaws were still gaping.;And Ithought that, even though two of the loud noises lay helplessly onthe ground, I had one more loud noise up my sleeve, less easily ex-plainable, a truly vexatious, even a spiteful noise . . .;How will shecope with my having banged at her door?I asked Lena . . .;“weren’t there two salvos from upstairs? . .;.One;after the other.;I then became conscious ofthe cat, and this brought me comfort—because there, on the wall,some of the horror lingered, the jaws were still gaping.
I then became conscious ofthe cat, and this brought me comfort—because there, on the wall,some of the horror lingered, the jaws were still gaping.;And Ithought that, even though two of the loud noises lay helplessly onthe ground, I had one more loud noise up my sleeve, less easily ex-plainable, a truly vexatious, even a spiteful noise . . .;How will shecope with my having banged at her door?I asked Lena . . .;“weren’t there two salvos from upstairs? . .;.One;after the other.;I’m sure of it, I was by the front door,” I lied,“when the second pounding began.;And Ithought that, even though two of the loud noises lay helplessly onthe ground, I had one more loud noise up my sleeve, less easily ex-plainable, a truly vexatious, even a spiteful noise . . .
And Ithought that, even though two of the loud noises lay helplessly onthe ground, I had one more loud noise up my sleeve, less easily ex-plainable, a truly vexatious, even a spiteful noise . . .;How will shecope with my having banged at her door?I asked Lena . . .;“weren’t there two salvos from upstairs? . .;.One;after the other.;I’m sure of it, I was by the front door,” I lied,“when the second pounding began.;The second noise was quitediﬀerent.;How will shecope with my having banged at her door?I asked Lena . . .
How will shecope with my having banged at her door?I asked Lena . . .;“weren’t there two salvos from upstairs? . .;.One;after the other.;I’m sure of it, I was by the front door,” I lied,“when the second pounding began.;The second noise was quitediﬀerent.;”Oh, to bang on!;“weren’t there two salvos from upstairs? . .
“weren’t there two salvos from upstairs? . .;.One;after the other.;I’m sure of it, I was by the front door,” I lied,“when the second pounding began.;The second noise was quitediﬀerent.;”Oh, to bang on!;T o bang on into her!;.One
.One;after the other.;I’m sure of it, I was by the front door,” I lied,“when the second pounding began.;The second noise was quitediﬀerent.;”Oh, to bang on!;T o bang on into her!;Just as I had done duringthe night, at her door!;after the other.
after the other.;I’m sure of it, I was by the front door,” I lied,“when the second pounding began.;The second noise was quitediﬀerent.;”Oh, to bang on!;T o bang on into her!;Just as I had done duringthe night, at her door!;Was I drawing the strings too tight?;I’m sure of it, I was by the front door,” I lied,“when the second pounding began.
I’m sure of it, I was by the front door,” I lied,“when the second pounding began.;The second noise was quitediﬀerent.;”Oh, to bang on!;T o bang on into her!;Just as I had done duringthe night, at her door!;Was I drawing the strings too tight?;What;The second noise was quitediﬀerent.
The second noise was quitediﬀerent.;”Oh, to bang on!;T o bang on into her!;Just as I had done duringthe night, at her door!;Was I drawing the strings too tight?;What;Witold Gombrowiczwill she reply?;”Oh, to bang on!
”Oh, to bang on!;T o bang on into her!;Just as I had done duringthe night, at her door!;Was I drawing the strings too tight?;What;Witold Gombrowiczwill she reply?;It was as if I were standing at her door again, bang-ing on it . . .;T o bang on into her!
T o bang on into her!;Just as I had done duringthe night, at her door!;Was I drawing the strings too tight?;What;Witold Gombrowiczwill she reply?;It was as if I were standing at her door again, bang-ing on it . . .;Can she guess who banged on her door?;Just as I had done duringthe night, at her door!
Just as I had done duringthe night, at her door!;Was I drawing the strings too tight?;What;Witold Gombrowiczwill she reply?;It was as if I were standing at her door again, bang-ing on it . . .;Can she guess who banged on her door?;Why hadn’tshe breathed a word?“A second noise? . . .;Was I drawing the strings too tight?
Was I drawing the strings too tight?;What;Witold Gombrowiczwill she reply?;It was as if I were standing at her door again, bang-ing on it . . .;Can she guess who banged on her door?;Why hadn’tshe breathed a word?“A second noise? . . .;Ah, yes, after a moment I began to bangagain . . .;What
What;Witold Gombrowiczwill she reply?;It was as if I were standing at her door again, bang-ing on it . . .;Can she guess who banged on her door?;Why hadn’tshe breathed a word?“A second noise? . . .;Ah, yes, after a moment I began to bangagain . . .;with my ﬁst against the shutter . . .;Witold Gombrowiczwill she reply?
Witold Gombrowiczwill she reply?;It was as if I were standing at her door again, bang-ing on it . . .;Can she guess who banged on her door?;Why hadn’tshe breathed a word?“A second noise? . . .;Ah, yes, after a moment I began to bangagain . . .;with my ﬁst against the shutter . . .;I was upset.;It was as if I were standing at her door again, bang-ing on it . . .
It was as if I were standing at her door again, bang-ing on it . . .;Can she guess who banged on her door?;Why hadn’tshe breathed a word?“A second noise? . . .;Ah, yes, after a moment I began to bangagain . . .;with my ﬁst against the shutter . . .;I was upset.;I wasn’tsure whether mother had calmed down.;Can she guess who banged on her door?
Can she guess who banged on her door?;Why hadn’tshe breathed a word?“A second noise? . . .;Ah, yes, after a moment I began to bangagain . . .;with my ﬁst against the shutter . . .;I was upset.;I wasn’tsure whether mother had calmed down.;”She lied.;Why hadn’tshe breathed a word?“A second noise? . . .
Why hadn’tshe breathed a word?“A second noise? . . .;Ah, yes, after a moment I began to bangagain . . .;with my ﬁst against the shutter . . .;I was upset.;I wasn’tsure whether mother had calmed down.;”She lied.;Out of embarrassment, surmising perhaps that it had beenme? .;Ah, yes, after a moment I began to bangagain . . .
Ah, yes, after a moment I began to bangagain . . .;with my ﬁst against the shutter . . .;I was upset.;I wasn’tsure whether mother had calmed down.;”She lied.;Out of embarrassment, surmising perhaps that it had beenme? .;. .;with my ﬁst against the shutter . . .
with my ﬁst against the shutter . . .;I was upset.;I wasn’tsure whether mother had calmed down.;”She lied.;Out of embarrassment, surmising perhaps that it had beenme? .;. .;Well, how about Ludwik . . .;I was upset.
I was upset.;I wasn’tsure whether mother had calmed down.;”She lied.;Out of embarrassment, surmising perhaps that it had beenme? .;. .;Well, how about Ludwik . . .;clearly Ludwik was with her,he heard my banging, why didn’t he open the door?;I wasn’tsure whether mother had calmed down.
